"COU","Country","PER","Periods","IND","Indicator","GEN","Gender","AGE","Age Group","VAL","Value","Value","Flag Codes","Flags"
"CZE","Czech Republic","TIME09","2009","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","AS_STD_RATE_CPAT","Age-sex standardised rate per 100 patients",0.3,,
"CZE","Czech Republic","TIME09","2009","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",0.25,,
"CZE","Czech Republic","TIME09","2009","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",0.34,,
"CZE","Czech Republic","TIME10","2010","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","AS_STD_RATE_CPAT","Age-sex standardised rate per 100 patients",0.29,,
"CZE","Czech Republic","TIME10","2010","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",0.25,,
"CZE","Czech Republic","TIME10","2010","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",0.33,,
"CZE","Czech Republic","TIME11","2011","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","AS_STD_RATE_CPAT","Age-sex standardised rate per 100 patients",0.28,,
"CZE","Czech Republic","TIME11","2011","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",0.24,,
"CZE","Czech Republic","TIME11","2011","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",0.31,,
"CZE","Czech Republic","TIME12","2012","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","AS_STD_RATE_CPAT","Age-sex standardised rate per 100 patients",0.31,,
"CZE","Czech Republic","TIME12","2012","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",0.27,,
"CZE","Czech Republic","TIME12","2012","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",0.35,,
"DNK","Denmark","TIME00","2000","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","AS_STD_RATE_CPAT","Age-sex standardised rate per 100 patients",0.67,,
"DNK","Denmark","TIME00","2000","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",0.55,,
"DNK","Denmark","TIME00","2000","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",0.79,,
"DNK","Denmark","TIME01","2001","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","AS_STD_RATE_CPAT","Age-sex standardised rate per 100 patients",0.74,,
"DNK","Denmark","TIME01","2001","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",0.62,,
"DNK","Denmark","TIME01","2001","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",0.86,,
"DNK","Denmark","TIME02","2002","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","AS_STD_RATE_CPAT","Age-sex standardised rate per 100 patients",0.62,,
"DNK","Denmark","TIME02","2002","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",0.5,,
"DNK","Denmark","TIME02","2002","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",0.74,,
"DNK","Denmark","TIME03","2003","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","AS_STD_RATE_CPAT","Age-sex standardised rate per 100 patients",0.71,,
"DNK","Denmark","TIME03","2003","MORTSUMD","Suicide within 1 year after discharge among patients diagnosed with a mental disorder","T","Total","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",0.59,,
